sqno,strd_yr,stdmt,date,stty_infcd_tpcd,diss_nm,diag_nm,whol_ptnt_cnt,frgn_ptnt_cnt,adm_ptnt_cnt,frgn_ptnt_rate,adm_ptnt_rate
6008,2022,1,2022년 01월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
6007,2022,1,2022년 01월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6002,2022,1,2022년 01월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
15538,2022,1,2022년 01월 01일,2,결핵,다약제내성 결핵,1,1,0,100.0,0.0
5997,2022,1,2022년 01월 01일,2,결핵,다약제내성 결핵,1,1,0,100.0,0.0
5992,2022,1,2022년 01월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
16198,2022,1,2022년 01월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6045,2022,2,2022년 02월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
6037,2022,2,2022년 02월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
6034,2022,2,2022년 02월 01일,2,결핵,결핵성 말초림프절병증,1,1,0,100.0,0.0
6035,2022,2,2022년 02월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
16379,2022,2,2022년 02월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기타 호흡기결핵,1,1,0,100.0,0.0
16403,2022,2,2022년 02월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
6053,2022,2,2022년 02월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
6079,2022,3,2022년 03월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
15345,2022,3,2022년 03월 01일,2,결핵,달리 분류되지 않은 소화기관의 결핵,1,1,0,100.0,0.0
15374,2022,3,2022년 03월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,1,1,0,100.0,0.0
6093,2022,3,2022년 03월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
16126,2022,3,2022년 03월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6085,2022,3,2022년 03월 01일,2,결핵,달리 분류되지 않은 소화기관의 결핵,1,1,0,100.0,0.0
6096,2022,3,2022년 03월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6101,2022,3,2022년 03월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6102,2022,3,2022년 03월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
14730,2022,4,2022년 04월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
15554,2022,4,2022년 04월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,1,1,0,100.0,0.0
6138,2022,4,2022년 04월 01일,2,결핵,눈의 결핵,1,1,0,100.0,0.0
15370,2022,4,2022년 04월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기타 호흡기결핵,1,1,0,100.0,0.0
14857,2022,4,2022년 04월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
6133,2022,4,2022년 04월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
16520,2022,4,2022년 04월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6155,2022,4,2022년 04월 01일,2,결핵,피부 및 피하조직의 결핵,1,1,0,100.0,0.0
16351,2022,4,2022년 04월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6144,2022,4,2022년 04월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6154,2022,4,2022년 04월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
16395,2022,4,2022년 04월 01일,2,결핵,눈의 결핵,1,1,0,100.0,0.0
16453,2022,5,2022년 05월 01일,2,결핵,달리 분류되지 않은 소화기관의 결핵,1,1,0,100.0,0.0
16594,2022,5,2022년 05월 01일,2,결핵,"세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 후두, 기관 및 기관지 결핵",1,1,0,100.0,0.0
6201,2022,5,2022년 05월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
6203,2022,5,2022년 05월 01일,2,결핵,"세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 후두, 기관 및 기관지 결핵",1,1,0,100.0,0.0
6193,2022,5,2022년 05월 01일,2,결핵,달리 분류되지 않은 소화기관의 결핵,1,1,0,100.0,0.0
6192,2022,5,2022년 05월 01일,2,결핵,다약제내성 결핵,1,1,0,100.0,0.0
15558,2022,5,2022년 05월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
16547,2022,5,2022년 05월 01일,2,결핵,다약제내성 결핵,1,1,0,100.0,0.0
15218,2022,6,2022년 06월 01일,2,결핵,부신의 결핵(E35.1*),1,1,0,100.0,0.0
